Rock Sample #	Size (mm)	Next smaller size class	Mean grain size
1	32	22.6	27.3
2	64	45	54.5
3	64	45	54.5
4	45	32	38.5
5	64	45	54.5
6	64	45	54.5
7	32	22.6	27.3
8	64	45	54.5
9	64	45	54.5
10	32	22.6	27.3
11	45	32	38.5
12	64	45	54.5
13	64	45	54.5
14	64	45	54.5
15	45	32	38.5
16	45	32	38.5
17	128	90	109
18	45	32	38.5
19	64	45	54.5
20	90	64	77
21	64	45	54.5
22	32	22.6	27.3
23	32	22.6	27.3
24	90	64	77
25	90	64	77
26	22.6	16	19.3
27	64	45	54.5
28	64	45	54.5
29	32	22.6	27.3
30	64	45	54.5
31	45	32	38.5
32	45	32	38.5
33	90	64	77
34	64	45	54.5
35	45	32	38.5
36	64	45	54.5
37	64	45	54.5
38	45	32	38.5
39	64	45	54.5
40	64	45	54.5
41	45	32	38.5
42	45	32	38.5
43	64	45	54.5
44	45	32	38.5
45	45	32	38.5
46	45	32	38.5
47	64	45	54.5
48	90	64	77
49	45	32	38.5
50	22.6	16	19.3
51	45	32	38.5
52	32	22.6	27.3
53	22.6	16	19.3
54	45	32	38.5
55	90	64	77
56	32	22.6	27.3
57	22.6	16	19.3
58	32	22.6	27.3
59	45	32	38.5
60	22.6	16	19.3
61	45	32	38.5
62	45	32	38.5
63	32	22.6	27.3
64	22.6	16	19.3
65	64	45	54.5
66	22.6	16	19.3
67	64	45	54.5
68	90	64	77
69	64	45	54.5
70	45	32	38.5
71	90	64	77
72	45	32	38.5
73	45	32	38.5
74	64	45	54.5
75	45	32	38.5
76	64	45	54.5
77	45	32	38.5
78	90	64	77
79	64	45	54.5
80	32	22.6	27.3
81	45	32	38.5
82	64	45	54.5
83	64	45	54.5
84	45	32	38.5
85	64	45	54.5
86	64	45	54.5
87	64	45	54.5
88	64	45	54.5
89	45	32	38.5
90	32	22.6	27.3
91	45	32	38.5
92	45	32	38.5
93	64	45	54.5
94	64	45	54.5
95	64	45	54.5
96	16	11	13.5
97	45	32	38.5
98	45	32	38.5
99	32	22.6	27.3
100	45	32	38.5
